"Sample","Strain","Plot","NLevel"
"1.1",2,"1",11.6
"1.2",2,"1",11.6
"1.3",2,"1",12.5
"1.4",2,"1",12.4
"2.1",4,"2",24.9
"2.2",4,"2",25.2
"2.3",4,"2",25.1
"2.4",4,"2",24.4
"3.1",6,"3",14.9
"3.2",6,"3",17.5
"3.3",6,"3",16.8
"3.4",6,"3",16.7
"4.1",3,"4",17.9
"4.2",3,"4",18.9
"4.3",3,"4",19.8
"4.4",3,"4",20.8
"5.1",3,"5",16.9
"5.2",3,"5",17.4
"5.3",3,"5",16.9
"5.4",3,"5",15.6
"6.1",1,"6",32.6
"6.2",1,"6",32.6
"6.3",1,"6",32.9
"6.4",1,"6",34.1
"7.1",3,"7",12.7
"7.2",3,"7",11.7
"7.3",3,"7",11.6
"7.4",3,"7",12.6
"8.1",1,"8",20
"8.2",1,"8",18.7
"8.3",1,"8",18.7
"8.4",1,"8",19.8
"9.1",5,"9",19.4
"9.2",5,"9",18.5
"9.3",5,"9",19.5
"9.4",5,"9",19
"10.1",2,"10",13.7
"10.2",2,"10",14.6
"10.3",2,"10",13.2
"10.4",2,"10",15.7
"11.1",1,"11",34.6
"11.2",1,"11",32.2
"11.3",1,"11",31.6
"11.4",1,"11",33.2
"12.1",6,"12",19
"12.2",6,"12",21.5
"12.3",6,"12",19.1
"12.4",6,"12",19.8
"13.1",3,"13",9.1
"13.2",3,"13",8.4
"13.3",3,"13",9.3
"13.4",3,"13",7.3
"14.1",4,"14",26.7
"14.2",4,"14",25.4
"14.3",4,"14",27.4
"14.4",4,"14",25.7
"15.1",6,"15",16.6
"15.2",6,"15",17.9
"15.3",6,"15",16.4
"15.4",6,"15",16
"16.1",4,"16",28.2
"16.2",4,"16",27.5
"16.3",4,"16",27.9
"16.4",4,"16",28
"17.1",1,"17",26.4
"17.2",1,"17",26.4
"17.3",1,"17",26.9
"17.4",1,"17",28.2
"18.1",3,"18",14.3
"18.2",3,"18",16.4
"18.3",3,"18",16.1
"18.4",3,"18",16.9
"19.1",6,"19",20.5
"19.2",6,"19",21.2
"19.3",6,"19",21.1
"19.4",6,"19",20.3
"20.1",5,"20",20
"20.2",5,"20",20
"20.3",5,"20",19.5
"20.4",5,"20",20.4
"21.1",2,"21",15
"21.2",2,"21",13.1
"21.3",2,"21",13.8
"21.4",2,"21",13.2
"22.1",2,"22",13.7
"22.2",2,"22",13.6
"22.3",2,"22",14.2
"22.4",2,"22",13.3
"23.1",4,"23",17.9
"23.2",4,"23",17
"23.3",4,"23",19.5
"23.4",4,"23",18.4
"24.1",5,"24",21.4
"24.2",5,"24",20.9
"24.3",5,"24",22.2
"24.4",5,"24",19.9
"25.1",1,"25",31.6
"25.2",1,"25",33.5
"25.3",1,"25",31.4
"25.4",1,"25",31.9
"26.1",2,"26",11.4
"26.2",2,"26",11.5
"26.3",2,"26",11.5
"26.4",2,"26",12.3
"27.1",4,"27",24.6
"27.2",4,"27",24.3
"27.3",4,"27",26.1
"27.4",4,"27",24.6
"28.1",6,"28",19.2
"28.2",6,"28",19.3
"28.3",6,"28",20.1
"28.4",6,"28",19.3
"29.1",5,"29",21
"29.2",5,"29",20.3
"29.3",5,"29",20.7
"29.4",5,"29",21.1
"30.1",5,"30",20.1
"30.2",5,"30",21.2
"30.3",5,"30",19.2
"30.4",5,"30",21
