Plot,Nitrogen,Yield
1,270,414
2,0,355
3,210,446
4,150,458
5,150,473
6,90,411
7,270,405
8,210,421
9,270,422
10,90,365
11,270,493
12,0,353
13,210,431
14,90,447
15,90,409
16,0,335
17,150,470
18,0,297
19,270,397
20,90,428
21,210,455
22,0,317
23,210,366
24,0,366
25,270,377
26,150,511
27,270,428
28,210,468
29,150,399
30,90,339
31,210,403
32,270,355
33,150,444
34,210,435
35,150,520
36,0,303
37,0,437
38,210,482
39,0,336
40,150,510
41,150,546
42,210,456
43,90,421
44,150,421
45,0,347
46,270,360
47,90,482
48,90,453
49,270,369
50,90,407
