"Soil","Variety","Block","Yield"
"1","1","1",13.9474509699931
"1","2","1",16.3496367756809
"1","3","1",11.5209577791871
"1","4","1",23.5001832049921
"1","5","1",16.1600547902752
"2","1","1",5.73408208516437
"2","2","1",11.2364366698619
"2","3","1",16.170472971342
"2","4","1",5.46967109239903
"2","5","1",11.4994192146087
"3","1","1",13.8385842984587
"3","2","1",11.4691196032127
"3","3","1",13.4561361204305
"3","4","1",10.6440751083497
"3","5","1",5.26392585957827
"1","1","2",7.5268253214491
"1","2","2",3.51239305804036
"1","3","2",-0.328722292766541
"1","4","2",20.073542608496
"1","5","2",7.93812944912749
"2","1","2",2.31833718476415
"2","2","2",8.148665343557
"2","3","2",-1.28585874715286
"2","4","2",0.182447443410387
"2","5","2",8.93913722807527
"3","1","2",7.13549557787658
"3","2","2",1.7151164798225
"3","3","2",-0.967861962535064
"3","4","2",6.33904905325608
"3","5","2",-6.15914186593128
"1","1","3",9.04426368956224
"1","2","3",8.91436324311745
"1","3","3",9.62749222639744
"1","4","3",17.9593482586281
"1","5","3",13.7199457147709
"2","1","3",3.31267850968094
"2","2","3",12.222990111644
"2","3","3",3.52944780808264
"2","4","3",2.96612125128981
"2","5","3",14.767089471831
"3","1","3",4.59431403874487
"3","2","3",8.4752883008812
"3","3","3",1.72093233075741
"3","4","3",-0.0560916559204916
"3","5","3",4.4240162718055
"1","1","4",21.2903233609374
"1","2","4",17.818771098666
"1","3","4",20.3807687315534
"1","4","4",24.3506272782449
"1","5","4",27.9465119919243
"2","1","4",16.5274910052593
"2","2","4",16.2990584138035
"2","3","4",17.3339009291509
"2","4","4",10.3786302026796
"2","5","4",17.3983629089691
"3","1","4",16.9488964854427
"3","2","4",17.9204907078699
"3","3","4",14.0988653886167
"3","4","4",14.6616408595495
"3","5","4",9.97098530960731
"1","1","5",26.0918543688158
"1","2","5",16.2930977928484
"1","3","5",24.3410463094115
"1","4","5",28.6562670268278
"1","5","5",31.4485603254113
"2","1","5",12.9205873516683
"2","2","5",21.3427542753397
"2","3","5",22.4849610696452
"2","4","5",13.3826299168008
"2","5","5",25.9358968157245
"3","1","5",22.3832674532035
"3","2","5",22.5407883248286
"3","3","5",23.8170592322264
"3","4","5",16.9315076104752
"3","5","5",22.2975258123875
"1","1","6",27.4444536037256
"1","2","6",29.0655271518539
"1","3","6",32.1979427066804
"1","4","6",39.7548168996593
"1","5","6",37.7088249389735
"2","1","6",27.7157476001147
"2","2","6",35.3969567912305
"2","3","6",33.3862851928965
"2","4","6",19.1537822158946
"2","5","6",38.4557933394765
"3","1","6",27.990699735511
"3","2","6",29.8084315399922
"3","3","6",31.8789013273892
"3","4","6",28.8814866181043
"3","5","6",31.7794042749223
