"Nitrogen","Variety","Yield"
0,"Alpine Russet",296.976580794099
90,"Alpine Russet",453.371452621424
150,"Alpine Russet",509.916235256461
210,"Alpine Russet",455.789067582675
270,"Alpine Russet",368.730580642182
0,"Alpine Russet",335.753319549238
90,"Alpine Russet",428.190486845053
150,"Alpine Russet",520.191810534265
210,"Alpine Russet",468.061059754904
270,"Alpine Russet",413.695066060875
0,"Alpine Russet",335.19356302355
90,"Alpine Russet",421.210224664734
150,"Alpine Russet",399.462380805036
210,"Alpine Russet",403.092497244569
270,"Alpine Russet",404.897078009985
0,"Alpine Russet",317.250271835016
90,"Alpine Russet",409.285502314483
150,"Alpine Russet",470.034330164441
210,"Alpine Russet",482.001268599194
270,"Alpine Russet",422.158787422877
0,"Alpine Russet",302.625242151894
90,"Alpine Russet",447.229098106841
150,"Alpine Russet",511.426646225771
210,"Alpine Russet",421.382689392489
270,"Alpine Russet",428.055386322711
0,"Alpine Russet",437.019994925293
90,"Alpine Russet",410.638926176675
150,"Alpine Russet",420.793268684173
210,"Alpine Russet",455.485981372121
270,"Alpine Russet",377.247269805959
0,"Alpine Russet",347.439614975717
90,"Alpine Russet",338.752068555448
150,"Alpine Russet",546.277743078144
210,"Alpine Russet",434.662666910595
270,"Alpine Russet",492.630583518108
0,"Alpine Russet",352.572311775873
90,"Alpine Russet",406.835406339078
150,"Alpine Russet",473.055267581581
210,"Alpine Russet",430.717066207583
270,"Alpine Russet",354.523952690596
0,"Alpine Russet",354.647518560676
90,"Alpine Russet",482.154991863818
150,"Alpine Russet",457.790803818285
210,"Alpine Russet",445.500940495814
270,"Alpine Russet",397.354939538612
0,"Alpine Russet",365.924321278265
90,"Alpine Russet",365.170389577098
150,"Alpine Russet",444.336729288156
210,"Alpine Russet",365.769369255082
270,"Alpine Russet",360.329968178034
